datetime,activity window,fps,jank
2024-06-06 17-39-31,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-39-33,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,58,0
2024-06-06 17-39-35,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,50,2
2024-06-06 17-39-37,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-39-39,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-39-41,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,28,0
2024-06-06 17-39-43,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,21,0
2024-06-06 17-39-45,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,1
2024-06-06 17-39-47,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-39-49,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-39-51,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-39-53,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-39-55,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-39-57,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-39-59,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,34,0
2024-06-06 17-40-01,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,29,1
2024-06-06 17-40-03,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,59,0
2024-06-06 17-40-05,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,38,2
2024-06-06 17-40-07,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-40-09,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-40-11,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,35,1
2024-06-06 17-40-13,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-40-15,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,53,0
2024-06-06 17-40-17,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,58,0
2024-06-06 17-40-19,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-40-21,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-40-23,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,38,0
2024-06-06 17-40-25,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,38,0
2024-06-06 17-40-27,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-40-29,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-40-31,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-40-33,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,58,0
2024-06-06 17-40-35,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,29,1
2024-06-06 17-40-37,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-40-39,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-40-41,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,40,0
2024-06-06 17-40-43,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,34,0
2024-06-06 17-40-45,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,28,1
2024-06-06 17-40-47,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,30,0
2024-06-06 17-40-49,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-40-55,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,10,1
2024-06-06 17-40-57,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,47,0
2024-06-06 17-41-05,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-41-09,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-41-11,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-41-13,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-41-15,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,24,1
2024-06-06 17-41-17,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,52,0
2024-06-06 17-41-19,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,23,0
2024-06-06 17-41-21,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,54,0
2024-06-06 17-41-23,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,56,0
2024-06-06 17-41-25,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,46,0
2024-06-06 17-41-27,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-41-29,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,38,0
2024-06-06 17-41-31,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,26,0
2024-06-06 17-41-33,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-41-35,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-41-37,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,52,0
2024-06-06 17-41-39,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-41-41,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,41,0
2024-06-06 17-41-43,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-41-45,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-41-47,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,59,0
2024-06-06 17-41-49,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-41-51,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,54,0
2024-06-06 17-41-53,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-41-55,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-41-57,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,38,1
2024-06-06 17-41-59,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-01,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,32,0
2024-06-06 17-42-03,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,39,0
2024-06-06 17-42-05,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,40,0
2024-06-06 17-42-07,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,29,0
2024-06-06 17-42-09,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-11,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-13,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-42-15,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-42-17,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,27,2
2024-06-06 17-42-19,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-21,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-23,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-42-25,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-27,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-42-29,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,59,0
2024-06-06 17-42-31,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,32,0
2024-06-06 17-42-33,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,40,0
2024-06-06 17-42-35,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,59,0
2024-06-06 17-42-37,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,28,0
2024-06-06 17-42-39,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,48,0
2024-06-06 17-42-41,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,33,0
2024-06-06 17-42-43,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,21,2
2024-06-06 17-42-45,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,20,0
2024-06-06 17-42-47,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,20,0
2024-06-06 17-42-49,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-51,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-53,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,54,0
2024-06-06 17-42-55,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-42-57,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-42-59,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,36,0
2024-06-06 17-43-01,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-43-03,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,32,2
2024-06-06 17-43-05,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
2024-06-06 17-43-07,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,25,0
2024-06-06 17-43-09,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-43-11,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-43-15,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,52,0
2024-06-06 17-44-11,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,51,0
2024-06-06 17-44-13,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,54,0
2024-06-06 17-44-15,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,6,1
2024-06-06 17-44-23,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,54,0
2024-06-06 17-44-25,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,8,1
2024-06-06 17-44-29,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,20,0
2024-06-06 17-44-31,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,35,0
2024-06-06 17-44-33,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,33,0
2024-06-06 17-44-35,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,30,0
